record_type,source_artifact_path,source_id,benchmark_id,search_id,candidate_id,qualified_id,interface_id,class_label,current_quotient_size,predictive_quotient_size,max_fiber_size,witness_count,discrepancy_metric_value,loop_action_score_current_quotient,loop_action_score_predictive_quotient,survival_fraction,threshold,meets_threshold,support_size,interface_count,carrier_family,route_update_family,observable_family,continuation_catalog_family,flat_count,dissipative_count,coherent_candidate_count,nonflat_count,shortlist_count,cluster_id,distinctness_kind
discovery_candidate,artifacts/results/discovery/cyclic_memory_small.atlas.json,cyclic_memory_small:cand_0006,,cyclic_memory_small,cand_0006,cyclic_memory_small:cand_0006,i0,coherent_candidate,1,2,2,1,1.0,0.0,1.0,,,,2,2,cyclic_z3,cyclic_shift,support_indicator_basis,forward_plus_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/cyclic_memory_small.atlas.json,cyclic_memory_small:cand_0007,,cyclic_memory_small,cand_0007,cyclic_memory_small:cand_0007,i0,coherent_candidate,1,2,2,1,1.0,0.0,1.0,,,,2,2,cyclic_z3,cyclic_shift,support_indicator_basis,two_step_with_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/groupoid_probe_small.atlas.json,groupoid_probe_small:cand_0000,,groupoid_probe_small,cand_0000,groupoid_probe_small:cand_0000,i0,coherent_candidate,2,3,2,1,1.0,0.0,0.0,,,,2,2,cyclic_z2,binary_swap,support_indicator_basis,forward_plus_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/groupoid_probe_small.atlas.json,groupoid_probe_small:cand_0001,,groupoid_probe_small,cand_0001,groupoid_probe_small:cand_0001,i0,coherent_candidate,2,3,2,1,1.0,0.0,0.0,,,,2,2,cyclic_z2,binary_swap,paired_partition,forward_plus_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/groupoid_probe_small.atlas.json,groupoid_probe_small:cand_0002,,groupoid_probe_small,cand_0002,groupoid_probe_small:cand_0002,i0,flat,2,2,1,0,0.0,0.0,0.0,,,,2,2,cyclic_z2,merge_to_sink,support_indicator_basis,forward_plus_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/groupoid_probe_small.atlas.json,groupoid_probe_small:cand_0003,,groupoid_probe_small,cand_0003,groupoid_probe_small:cand_0003,i0,flat,2,2,1,0,0.0,0.0,0.0,,,,2,2,cyclic_z2,merge_to_sink,paired_partition,forward_plus_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/groupoid_probe_small.atlas.json,groupoid_probe_small:cand_0004,,groupoid_probe_small,cand_0004,groupoid_probe_small:cand_0004,i0,coherent_candidate,2,3,2,1,1.0,0.0,0.0,,,,2,2,pair_groupoid_2,binary_swap,support_indicator_basis,forward_plus_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/groupoid_probe_small.atlas.json,groupoid_probe_small:cand_0005,,groupoid_probe_small,cand_0005,groupoid_probe_small:cand_0005,i0,coherent_candidate,2,3,2,1,1.0,0.0,0.0,,,,2,2,pair_groupoid_2,binary_swap,paired_partition,forward_plus_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/groupoid_probe_small.atlas.json,groupoid_probe_small:cand_0006,,groupoid_probe_small,cand_0006,groupoid_probe_small:cand_0006,i0,flat,2,2,1,0,0.0,0.0,0.0,,,,2,2,pair_groupoid_2,merge_to_sink,support_indicator_basis,forward_plus_loop,,,,,,,
discovery_candidate,artifacts/results/discovery/groupoid_probe_small.atlas.json,groupoid_probe_small:cand_0007,,groupoid_probe_small,cand_0007,groupoid_probe_small:cand_0007,i0,flat,2,2,1,0,0.0,0.0,0.0,,,,2,2,pair_groupoid_2,merge_to_sink,paired_partition,forward_plus_loop,,,,,,,
discovery_shortlist_candidate,artifacts/results/discovery/cyclic_memory_small.shortlist.json,cyclic_memory_small:cand_0000,,cyclic_memory_small,cand_0000,cyclic_memory_small:cand_0000,i0,coherent_candidate,,,,1,1.0,,1.0,,,,,,,,,,,,,,,,
discovery_shortlist_candidate,artifacts/results/discovery/cyclic_memory_small.shortlist.json,cyclic_memory_small:cand_0001,,cyclic_memory_small,cand_0001,cyclic_memory_small:cand_0001,i0,coherent_candidate,,,,1,1.0,,1.0,,,,,,,,,,,,,,,,
discovery_shortlist_candidate,artifacts/results/discovery/cyclic_memory_small.shortlist.json,cyclic_memory_small:cand_0002,,cyclic_memory_small,cand_0002,cyclic_memory_small:cand_0002,i0,coherent_candidate,,,,1,1.0,,1.0,,,,,,,,,,,,,,,,
discovery_shortlist_candidate,artifacts/results/discovery/cyclic_memory_small.shortlist.json,cyclic_memory_small:cand_0006,,cyclic_memory_small,cand_0006,cyclic_memory_small:cand_0006,i0,coherent_candidate,,,,1,1.0,,1.0,,,,,,,,,,,,,,,,
discovery_shortlist_candidate,artifacts/results/discovery/groupoid_probe_small.shortlist.json,groupoid_probe_small:cand_0000,,groupoid_probe_small,cand_0000,groupoid_probe_small:cand_0000,i0,coherent_candidate,,,,1,1.0,,0.0,,,,,,,,,,,,,,,,
discovery_shortlist_candidate,artifacts/results/discovery/groupoid_probe_small.shortlist.json,groupoid_probe_small:cand_0001,,groupoid_probe_small,cand_0001,groupoid_probe_small:cand_0001,i0,coherent_candidate,,,,1,1.0,,0.0,,,,,,,,,,,,,,,,
discovery_shortlist_candidate,artifacts/results/discovery/groupoid_probe_small.shortlist.json,groupoid_probe_small:cand_0004,,groupoid_probe_small,cand_0004,groupoid_probe_small:cand_0004,i0,coherent_candidate,,,,1,1.0,,0.0,,,,,,,,,,,,,,,,
discovery_shortlist_robustness,artifacts/results/discovery/cyclic_memory_small.shortlist_robustness.json,cyclic_memory_small:cand_0000,,cyclic_memory_small,cand_0000,cyclic_memory_small:cand_0000,i0,coherent_candidate,,,,1,1.0,,1.0,0.5,0.5,True,,,,,,,,,,,,,
discovery_shortlist_robustness,artifacts/results/discovery/cyclic_memory_small.shortlist_robustness.json,cyclic_memory_small:cand_0001,,cyclic_memory_small,cand_0001,cyclic_memory_small:cand_0001,i0,coherent_candidate,,,,1,1.0,,1.0,0.625,0.5,True,,,,,,,,,,,,,
