benchmark_id,interface_id,history_count,current_quotient_size,predictive_quotient_size,witness_count,max_fiber_size,discrepancy_metric_name,discrepancy_metric_value,discrepancy_metric_value_exact,loop_action_score_current_quotient,loop_action_score_current_quotient_exact,loop_action_score_predictive_quotient,loop_action_score_predictive_quotient_exact,support_fixation_status,currentization_status,flattening_status,robustness_fraction,class_label,runtime,seed
dissipative_memory,mid,2,1,2,1,2,exact_max_abs_future_gap,1.0,1,0.0,0,0.0,0,skipped,skipped,skipped,0.0,dissipative,0.0011607810156419873,0
dissipative_memory,end,2,1,1,0,1,exact_max_abs_future_gap,0.0,0,0.0,0,0.0,0,skipped,skipped,skipped,0.0,flat,0.0016029688995331526,0
