benchmark_id,trial_id,trial_seed,validation_status,run_status,predicate_pass,failure_reason,interface_metrics,transport_collapse_persisted,transport_collapse_continuation_id,transport_collapse_mapping,designated_loop_id,predictive_moved_class_ids,predictive_moved_class_fraction
flat_control,flat_control_perturbation:trial:10,5275685735369020247,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:11,8015688417107616165,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:12,10732229786445781552,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:13,8886765524498942986,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:14,12912398591053938674,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:15,16767769094344092304,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:16,18088858360973087782,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:17,5954047771013346909,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:18,15495423570133332545,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
flat_control,flat_control_perturbation:trial:19,4496914921645990547,passed,passed,true,,"[{""class_label"": ""flat"", ""current_loop_score"": 0.0, ""current_loop_score_exact"": ""0"", ""current_quotient_size"": 1, ""currentization_status"": ""skipped"", ""discrepancy_metric_value"": 0.0, ""discrepancy_metric_value_exact"": ""0"", ""flattening_status"": ""skipped"", ""history_count"": 2, ""interface_id"": ""mid"", ""max_fiber_size"": 1, ""predictive_loop_score"": 0.0, ""predictive_loop_score_exact"": ""0"", ""predictive_quotient_size"": 1, ""support_fixation_status"": ""skipped"", ""witness_count"": 0}]",,,,,,
